Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, San",,1967,691603,Uncategorized,2025-12-15 04:58:37,,,
AL 7002,The Alan Parsons Project,I Robot,Arista,"LP, Album, Gat",,1977,209358,Uncategorized,2025-12-15 04:49:44,,,
AL 9518,The Alan Parsons Project,The Turn Of A Friendly Card,Arista,"LP, Album, San",,1980,6074702,Uncategorized,2025-12-15 04:50:31,,,
P-10033Y,Eagles,One Of These Nights,Asylum Records,"LP, Album",,1975,2552915,Uncategorized,2025-12-15 00:13:43,,,
SD 19189,Jean-Luc Ponty,Cosmic Messenger,Atlantic,"LP, Album, PR ",,1978,972549,Uncategorized,2025-12-15 04:36:30,,,
19075965221,"Tyler, The Creator",Igor,Columbia,"LP, Album, Gat",,2019,14176877,Uncategorized,2025-12-15 00:15:13,,,
PC 33411,Mahavishnu Orchestra,Visions Of The Emerald Beyond,Columbia,"LP, Album, Pit",,1975,726621,Uncategorized,2025-12-15 00:22:43,,,
QC 38243,Pink Floyd,The Final Cut,Columbia,"LP, Album, Pit",,1983,881623,Uncategorized,2025-12-15 00:16:51,,,
"88875184231, 88875184301",Pink Floyd,Meddle,"Columbia, Sony Music","LP, Album, RE, RM, Gat",,2025,34358980,Uncategorized,2025-12-15 00:19:11,,,
88875184261,Pink Floyd,Wish You Were Here,"Columbia, Sony Music","LP, Album, RE, RM, RP, 180",,2025,33628029,Uncategorized,2025-12-15 00:16:02,,,
FE 37532,George Duke,Dream On,Epic,"LP, Album",,1982,608426,Uncategorized,2025-12-15 00:22:08,,,
UPJY-9523/4,Masayoshi Takanaka,The Rainbow Goblins,"Kitty Records, Universal Music Group","2xLP, Album, Ltd, RE, RM, Cle",,2025,35489011,Uncategorized,2025-12-15 00:11:39,,,
196587 20271,Pink Floyd,The Dark Side Of The Moon,Legacy,"LP, Album, RE, RM, 50t",,2025,33535515,Uncategorized,2025-12-15 00:15:45,,,
375 349-5,Elton John,Goodbye Yellow Brick Road,"Mercury, Universal UMC","2xLP, Album, Ltd, Pic, RM, Tri",,2019,14249902,Uncategorized,2025-12-15 04:43:23,,,
MFSL1-536,Carlos Santana & John McLaughlin,Love Devotion Surrender,"Mobile Fidelity Sound Lab, Columbia","LP, Album, Num, RE, RM, S/Edition, 180",,2024,31441565,Uncategorized,2025-12-15 04:53:35,,,
B0027172-01,Lionel Richie,Lionel Richie,Motown,"LP, Album, Gat",,2017,11281706,Uncategorized,2025-12-15 00:19:39,,,
M8-955M1,Commodores,In The Pocket,Motown,"LP, Album",,1981,501992,Uncategorized,2025-12-15 04:56:24,,,
"6059 ML, 6059ML",Lionel Richie,Can't Slow Down,"Motown, Motown","LP, Album, Sup",,1983,4225726,Uncategorized,2025-12-15 00:20:11,,,
PLP 30,Johnny Hartman,Today,Perception Records (5),"LP, Album",,1972,2403833,Uncategorized,2025-12-15 04:51:42,,,
"5300221, 530 022-1",Marvin Gaye,What's Going On,"Tamla, Tamla","LP, Album, RE, Gat",,2024,30486526,Uncategorized,2025-12-15 00:14:07,,,
UPJY-9510,Masayoshi Takanaka = Masayoshi Takanaka,Jolly Jive = ジョリー・ジャイヴ,Universal Music,"LP, Album, Ltd, RM, Cle",,2025,34345339,Uncategorized,2025-12-15 00:12:03,,,
UPJY-9511,Masayoshi Takanaka = Masayoshi Takanaka,All Of Me,Universal Music,"2xLP, Comp, Ltd, RE, RM, Cle",,2025,34345102,Uncategorized,2025-12-15 00:11:09,,,
WBS 8014,America (2),Tin Man,Warner Bros. Records,"7"", Single, Styrene",,1974,1530807,Uncategorized,2025-12-15 04:54:59,,,
"RCV1 3111, 603497845149",George Benson,Breezin',"Warner Records, Warner Records, Rhino Records (2), Rhino Records (2)","LP, Album, Ltd, RE, Blu",,2021,17263978,Uncategorized,2025-12-15 04:59:04,,,
